SITE_ID,SAMPLE_ID,VISIT_NO,INDXSAMP_LDC,SAMPLE_TYPE,SAMPLE_CATEGORY,PRIMESEDT,LDC_ADJ
NLA06608-1336,516677,1,YES,SEDT,P,1,-18.90414478
NLA06608-1338,514067,1,YES,SEDT,P,1,-7.553494459
NLA06608-1339,505068,1,YES,SEDT,P,1,-11.51266732
NLA06608-1342,506337,1,YES,SEDT,P,1,1.167576979
NLA06608-1342,506338,1,YES,SEDB,P,,-6.329413293
NLA06608-1344,504957,1,YES,SEDT,P,1,25.02944347
NLA06608-1346,504698,1,YES,SEDT,P,1,-8.528574372
NLA06608-1347,506697,1,YES,SEDT,P,1,-42.01288108
NLA06608-1347,506698,1,YES,SEDB,P,,3.203074996
NLA06608-1348,502087,1,YES,SEDT,P,1,-5.976291865
NLA06608-1349,512577,1,YES,SEDT,P,1,-28.49078338
NLA06608-1349,512578,1,YES,SEDB,P,,-7.172713771
NLA06608-1355,504528,1,NO,SEDT,P,,-0.261061126
NLA06608-1355,507317,2,YES,SEDT,P,2,-12.36104163
NLA06608-1355,507318,2,YES,SEDB,P,,-9.89597613
NLA06608-1356,510027,1,YES,SEDT,P,1,-5.492781481
NLA06608-1358,517467,1,YES,SEDT,P,1,-7.811339588
NLA06608-1358,517468,1,YES,SEDB,P,,-7.519135627
NLA06608-1358,517457,2,NO,SEDT,P,,-17.30360868
NLA06608-1358,517458,2,NO,SEDB,P,,-19.19331901
NLA06608-1359,510288,1,YES,SEDT,P,1,-15.96651389
NLA06608-1360,510057,1,YES,SEDT,P,1,-3.641846579
NLA06608-1364,502927,1,YES,SEDT,P,1,-19.24498786
NLA06608-1365,509707,1,YES,SEDT,P,1,-17.32654418
NLA06608-1367,511087,1,YES,SEDT,P,1,-22.94560868
NLA06608-1367,511088,1,YES,SEDB,P,,-25.48107579
NLA06608-1368,514797,1,YES,SEDT,P,1,-29.43115754
NLA06608-1369,504707,1,YES,SEDT,P,1,4.58631251
NLA06608-1370,511237,1,YES,SEDT,P,1,-17.19490034
NLA06608-1370,511238,1,YES,SEDB,P,,-25.06512573
NLA06608-1372,516767,1,YES,SEDT,P,1,-18.8883266
NLA06608-1375,513848,1,YES,SEDT,P,1,-38.06214437
NLA06608-1376,517257,1,YES,SEDT,P,1,-1.084682965
NLA06608-1380,504868,1,YES,SEDT,P,1,-6.879535716
NLA06608-1383,509717,1,YES,SEDT,P,1,-3.666018407
NLA06608-1383,509718,1,YES,SEDB,P,,-11.9886506
NLA06608-1387,504228,1,YES,SEDT,P,1,-15.66943644
NLA06608-1387,504227,1,YES,SEDB,P,,-26.41454431
NLA06608-1389,507087,1,YES,SEDT,P,1,4.246691723
NLA06608-1389,508747,2,NO,SEDT,P,,0.622174191
NLA06608-1390,503597,1,YES,SEDT,P,1,-10.14210905
NLA06608-1390,503598,1,YES,SEDB,P,,-15.93415711
NLA06608-1391,507757,1,YES,SEDT,P,1,-34.27946299
NLA06608-1391,507758,1,YES,SEDB,P,,-24.74157921
NLA06608-1396,502847,1,YES,SEDT,P,1,-4.658458374
NLA06608-1397,510347,1,YES,SEDT,P,1,-21.14136413
NLA06608-1398,509627,1,YES,SEDT,P,1,18.57243084
NLA06608-1398,509628,1,YES,SEDB,P,,13.48470529
NLA06608-1401,506037,1,YES,SEDT,P,1,-35.0299807
NLA06608-1403,505127,1,YES,SEDT,P,1,-3.561623131
NLA06608-1413,503127,1,YES,SEDT,P,1,-14.0059276
NLA06608-1413,503128,1,YES,SEDB,P,,-7.370774864
NLA06608-1414,509097,1,YES,SEDT,P,1,8.234811464
NLA06608-1414,509098,1,YES,SEDB,P,,-5.253708414
NLA06608-1420,516667,1,YES,SEDT,P,1,-6.749789306
NLA06608-1421,510327,1,YES,SEDT,P,1,-1.347983028
NLA06608-1421,510328,1,YES,SEDB,P,,-9.857866933
NLA06608-1425,508527,1,YES,SEDT,P,1,12.82631335
NLA06608-1425,508528,1,YES,SEDB,P,,18.19107437
NLA06608-1426,504457,1,YES,SEDT,P,1,7.276135393
NLA06608-1426,504458,1,YES,SEDB,P,,8.018786416
NLA06608-1432,505787,1,YES,SEDT,P,1,-6.371470491
NLA06608-1434,513587,1,YES,SEDT,P,1,-11.05981099
NLA06608-1434,513588,1,YES,SEDB,P,,-15.9332918
NLA06608-1436,514597,1,YES,SEDT,P,1,-2.26207433
NLA06608-1439,502388,1,YES,SEDT,P,1,24.37130257
NLA06608-1445,504407,1,YES,SEDT,P,1,0.258878424
NLA06608-1445,504408,1,YES,SEDB,P,,-1.893473716
NLA06608-1446,510037,1,YES,SEDT,P,1,-0.660513228
NLA06608-1446,510038,1,YES,SEDB,P,,1.654056811
NLA06608-1447,503427,1,YES,SEDT,P,1,-9.861940044
NLA06608-1447,503428,1,YES,SEDB,P,,-9.490734638
NLA06608-1450,512568,1,YES,SEDT,P,1,-22.34757194
NLA06608-1450,512567,1,YES,SEDB,P,,-1.576277362
NLA06608-1454,503277,1,YES,SEDT,P,1,-30.60448845
NLA06608-1454,503278,1,YES,SEDB,P,,-23.18233494
NLA06608-1455,511877,1,YES,SEDT,P,1,-5.787694189
NLA06608-1460,508027,1,YES,SEDT,P,1,-18.69774387
NLA06608-1461,516627,1,YES,SEDT,P,1,-13.44344637
NLA06608-1462,511647,1,YES,SEDT,P,1,-5.90911635
NLA06608-1465,510007,1,YES,SEDT,P,1,-11.79953387
NLA06608-1469,502857,1,YES,SEDT,P,1,-2.612340931
NLA06608-1469,502858,1,YES,SEDB,P,,-12.10913627
NLA06608-1473,510907,1,YES,SEDT,P,1,20.26251091
NLA06608-1473,510908,1,YES,SEDB,P,,20.10563062
NLA06608-1476,502277,1,YES,SEDT,P,1,-16.71316694
NLA06608-1476,502278,1,YES,SEDB,P,,-16.87935236
NLA06608-1482,502837,1,YES,SEDT,P,1,-2.941769309
NLA06608-1483,510667,1,YES,SEDT,P,1,11.97491325
NLA06608-1484,517787,1,YES,SEDT,P,1,12.92700881
NLA06608-1487,515397,1,YES,SEDT,P,1,-14.96440501
NLA06608-1488,510517,1,YES,SEDT,P,1,-25.91546431
NLA06608-1489,517607,1,YES,SEDT,P,1,9.453796568
NLA06608-1489,517608,1,YES,SEDB,P,,-1.654516964
NLA06608-1492,504507,1,YES,SEDT,P,1,-21.89481999
NLA06608-1496,507937,1,YES,SEDT,P,1,-4.882388084
NLA06608-1499,513877,1,YES,SEDT,P,1,-16.88731097
NLA06608-1499,513878,1,YES,SEDB,P,,-7.697064868
NLA06608-1504,513647,1,YES,SEDT,P,1,-18.72155849
NLA06608-1508,504177,1,YES,SEDT,P,1,-10.0984396
NLA06608-1510,511887,1,YES,SEDT,P,1,-19.42760448
NLA06608-1511,503097,1,YES,SEDT,P,1,-20.64885622
NLA06608-1515,511687,1,YES,SEDT,P,1,-29.78198483
NLA06608-1515,511688,1,YES,SEDB,P,,-17.36411974
NLA06608-1517,509677,1,YES,SEDT,P,1,4.631943976
NLA06608-1521,510598,1,YES,SEDT,P,1,-26.08222535
NLA06608-1524,502618,1,YES,SEDT,P,1,-10.03683937
NLA06608-1527,513867,1,YES,SEDT,P,1,-18.17465404
NLA06608-1527,513868,1,YES,SEDB,P,,-14.2208971
NLA06608-1529,506467,1,YES,SEDT,P,1,1.457530953
NLA06608-1532,503857,1,YES,SEDT,P,1,-25.80840774
NLA06608-1537,505617,1,YES,SEDT,P,1,-0.936989753
NLA06608-1537,505618,1,YES,SEDB,P,,5.544472597
NLA06608-1538,503697,1,YES,SEDT,P,1,11.87190163
NLA06608-1544,507537,1,YES,SEDT,P,1,-9.800594278
NLA06608-1544,507538,1,YES,SEDB,P,,-16.48494075
NLA06608-1556,511587,1,YES,SEDT,P,1,-15.83863899
NLA06608-1556,511588,1,YES,SEDB,P,,-0.439192285
NLA06608-1558,508817,1,YES,SEDT,P,1,13.53497907
NLA06608-1558,508818,1,YES,SEDB,P,,8.77693311
NLA06608-1560,507947,1,YES,SEDT,P,1,-7.860595368
NLA06608-1561,506007,1,YES,SEDT,P,1,7.879467206
NLA06608-1562,502787,1,YES,SEDT,P,1,11.98160875
NLA06608-1564,505967,1,YES,SEDT,P,1,-19.84578986
NLA06608-1568,504987,1,YES,SEDT,P,1,-19.13711714
NLA06608-1569,502067,1,YES,SEDT,P,1,-7.871529204
NLA06608-1569,502068,1,YES,SEDB,P,,-9.231364908
NLA06608-1572,515697,1,YES,SEDT,P,1,3.224469677
NLA06608-1575,504147,1,YES,SEDT,P,1,-35.18640445
NLA06608-1575,504148,1,YES,SEDB,P,,-31.45278241
NLA06608-1576,516448,1,YES,SEDT,P,1,-17.09036856
NLA06608-1577,502447,1,YES,SEDT,P,1,-8.058788713
NLA06608-1578,509507,1,YES,SEDT,P,1,-31.08476597
NLA06608-1578,509508,1,YES,SEDB,P,,6.577235333
NLA06608-1579,507457,1,YES,SEDT,P,1,-7.368337216
NLA06608-1586,505457,1,YES,SEDT,P,1,-1.916188649
