SITE_ID,VISIT_NO,SITE_TYPE,LAKE_SAMP,SAMPLED_CORE,DATECORE,INDXSAMP_CORE,SAMPLE_CATEGORY,SAMPLE_ID,SAMPLE_TYPE,SAMPLE_CLASS,CORE_LENGTH,INTERVAL_FROM,INTERVAL_TO,FLAG_FLD_CORE,COMMENT_FLD_CORE,DATATYPE,VISIT_ID
NLA06608-0066,1,PROB_Lake,Target_Sampled,YES (Top only),6/12/2007,YES,P,502638,SEDT,TOP,34,0,1,F2,FROZEN BEFORE SENDING,CORE,7549
NLA06608-0066,2,PROB_Lake,Target_Sampled,YES (Top only),9/18/2007,NO,P,517867,SEDT,TOP,41,0,1,,,CORE,7550
NLA06608-0068,1,PROB_Lake,Target_Sampled,YES (Top only),7/9/2007,YES,P,508567,SEDT,TOP,5.9,0,1,,,CORE,7552
NLA06608-0068,2,PROB_Lake,Target_Sampled,YES (Top only),9/12/2007,NO,P,513097,SEDT,TOP,12.9,0,1,,,CORE,7553
NLA06608-0068,2,PROB_Lake,Target_Sampled,YES (Top only),9/12/2007,NO,D,513117,SEDT,TOP,13.4,0,1,,,CORE,7553
NLA06608-0069,1,PROB_Lake,Target_Sampled,YES (Both),7/18/2007,YES,P,507327,SEDT,TOP,30,0,1,,,CORE,7554
NLA06608-0069,1,PROB_Lake,Target_Sampled,YES (Both),7/18/2007,YES,P,507328,SEDB,BOT,30,26,27,,,CORE,7554
NLA06608-0069,2,PROB_Lake,Target_Sampled,YES (Both),9/26/2007,NO,P,512397,SEDT,TOP,17,0,1,,,CORE,7555
NLA06608-0069,2,PROB_Lake,Target_Sampled,YES (Both),9/26/2007,NO,P,512398,SEDB,BOT,17,15,16,,,CORE,7555
NLA06608-0071,1,PROB_Lake,Target_Sampled,YES (Both),9/6/2007,YES,P,516527,SEDT,TOP,38,0,1,,,CORE,7556
NLA06608-0071,1,PROB_Lake,Target_Sampled,YES (Both),9/6/2007,YES,P,516528,SEDB,BOT,38,35,36,K,,CORE,7556
NLA06608-0071,2,PROB_Lake,Target_Sampled,YES (Both),9/8/2007,NO,P,518017,SEDT,TOP,55,0,1,,,CORE,7557
NLA06608-0071,2,PROB_Lake,Target_Sampled,YES (Both),9/8/2007,NO,P,518018,SEDB,BOT,55,52,53,,,CORE,7557
NLA06608-0072,1,PROB_Lake,Target_Sampled,YES (Top only),7/26/2007,YES,P,507117,SEDT,TOP,37,0,1,,,CORE,7558
NLA06608-0072,2,PROB_Lake,Target_Sampled,YES (Top only),8/15/2007,NO,P,507657,SEDT,TOP,50,0,1,,,CORE,7559
NLA06608-0073,1,PROB_Lake,Target_Sampled,YES (Top only),6/12/2007,YES,P,502417,SEDT,TOP,10,0,1,F2,APPEARS TO BE ALL ALGAL,CORE,7560
NLA06608-0073,2,PROB_Lake,Target_Sampled,YES (Both),7/18/2007,NO,P,510757,SEDT,TOP,35,0,1,,,CORE,7561
NLA06608-0073,2,PROB_Lake,Target_Sampled,YES (Both),7/18/2007,NO,P,510758,SEDB,BOT,35,32,33,,,CORE,7561
NLA06608-0076,1,PROB_Lake,Target_Sampled,YES (Top only),7/27/2007,YES,P,514737,SEDT,TOP,7,0,1,F1,MOVED A SHORT DISTANCE AWAY FROM INDEX,CORE,7562
NLA06608-0076,2,PROB_Lake,Target_Sampled,YES (Top only),9/4/2007,NO,P,516467,SEDT,TOP,12,0,1,IM,RESERVOIR (NO BOTTOM SLICE COLLECTED),CORE,7563
NLA06608-0076,2,PROB_Lake,Target_Sampled,YES (Top only),9/4/2007,NO,P,516468,SEDB,BOT,12,,,K,RESERVOIR - NA,CORE,7563
NLA06608-0076,2,PROB_Lake,Target_Sampled,YES (Top only),9/4/2007,NO,D,516457,SEDT,TOP,19,0,1,,,CORE,7563
NLA06608-0077,1,PROB_Lake,Target_Sampled,YES (Top only),9/8/2007,YES,P,517848,SEDT,TOP,36,0,1,,,CORE,7564
NLA06608-0077,2,PROB_Lake,Target_Sampled,YES (Top only),9/13/2007,NO,P,517217,SEDT,TOP,47,0,1,,,CORE,7565
NLA06608-0078,1,PROB_Lake,Target_Sampled,YES (Both),8/8/2007,YES,P,504627,SEDT,TOP,18.5,0,1,,,CORE,7566
NLA06608-0078,1,PROB_Lake,Target_Sampled,YES (Both),8/8/2007,YES,P,504628,SEDB,BOT,18.5,15.5,16.5,,,CORE,7566
NLA06608-0078,2,PROB_Lake,Target_Sampled,YES (Both),8/21/2007,NO,P,509267,SEDT,TOP,20,0,1,,,CORE,7567
NLA06608-0078,2,PROB_Lake,Target_Sampled,YES (Lost sample),8/21/2007,NO,P,509268,SEDB,BOT,20,17,18,K,NO LAB DATA AVAILABLE,CORE,7567
NLA06608-0079,1,PROB_Lake,Target_Sampled,YES (Both),7/12/2007,YES,P,508587,SEDT,TOP,44.4,0,1,,,CORE,7568
NLA06608-0079,1,PROB_Lake,Target_Sampled,YES (Both),7/12/2007,YES,P,508588,SEDB,BOT,44.4,41.4,42.4,,,CORE,7568
NLA06608-0079,2,PROB_Lake,Target_Sampled,YES (Both),8/16/2007,NO,P,502128,SEDT,TOP,35.4,0,1,,,CORE,7569
NLA06608-0079,2,PROB_Lake,Target_Sampled,YES (Both),8/16/2007,NO,P,502127,SEDB,BOT,35.4,1,2,,,CORE,7569
NLA06608-0079,2,PROB_Lake,Target_Sampled,YES (Both),8/16/2007,NO,D,503727,SEDT,TOP,32.9,0,1,,,CORE,7569
NLA06608-0079,2,PROB_Lake,Target_Sampled,YES (Both),8/16/2007,NO,D,503728,SEDB,BOT,32.9,1,2,,,CORE,7569
NLA06608-0080,1,PROB_Lake,Target_Sampled,YES (Both),9/9/2007,YES,P,517207,SEDT,TOP,54,0,1,,,CORE,7570
NLA06608-0080,1,PROB_Lake,Target_Sampled,YES (Both),9/9/2007,YES,P,517208,SEDB,BOT,54,51,52,,,CORE,7570
NLA06608-0080,2,PROB_Lake,Target_Sampled,YES (Both),9/10/2007,NO,P,516267,SEDT,TOP,55,0,1,,,CORE,7571
NLA06608-0080,2,PROB_Lake,Target_Sampled,YES (Both),9/10/2007,NO,P,516268,SEDB,BOT,55,52,53,,,CORE,7571
NLA06608-0081,1,PROB_Lake,Target_Sampled,YES (Both),7/3/2007,YES,P,506367,SEDT,TOP,41,0,1,F7,TOP 2 CM OF SLURRY SIPHONED OFF.,CORE,7572
NLA06608-0081,1,PROB_Lake,Target_Sampled,YES (Both),7/3/2007,YES,P,506368,SEDB,BOT,41,38,39,,,CORE,7572
NLA06608-0081,2,PROB_Lake,Target_Sampled,YES (Both),9/19/2007,NO,P,517777,SEDT,TOP,44,0,1,,,CORE,7573
NLA06608-0081,2,PROB_Lake,Target_Sampled,YES (Both),9/19/2007,NO,P,517778,SEDB,BOT,44,41,42,,,CORE,7573
NLA06608-0083,1,PROB_Lake,Target_Sampled,YES (Both),6/13/2007,YES,P,502697,SEDT,TOP,27,0,1,,,CORE,7574
